,Equation Number,eqn,soln
36,48,"(-1x + 2) = (3x + (-4))
","(-1x + 2) = (3x + (-4))
|((-1x + 2) - 2) = ((3x + (-4)) - 2)|(-1x + (2 - 2)) = ((3x + (-4)) - 2)|(-1x + (2 - 2)) = (3x + ((-4) - 2))|(-1x + (2 - 2)) = (((-4) - 2) + 3x)|(-1x + 0) = (((-4) - 2) + 3x)|((-1x + 0) - 3x) = ((((-4) - 2) + 3x) - 3x)|((-1x + 0) - 3x) = (((-4) - 2) + (3x - 3x))|(-1x - 3x) = (((-4) - 2) + (3x - 3x))|(((-4) - 2) + (3x - 3x)) = (-1x - 3x)|(((-4) - 2) + (3x - 3x)) = (((-1) - 3) * x)|(((-4) - 2) + 0) = (((-1) - 3) * x)|(((-4) - 2) + 0) = -4x|((((-4) - 2) + 0) / (-4)) = (-4x / (-4))|((((-4) - 2) + 0) / (-4)) = ((x * (-4)) / (-4))|((((-4) - 2) + 0) / (-4)) = (x * ((-4) / (-4)))|((((-4) - 2) + 0) / (-4)) = (x * 1)|(x * 1) = ((((-4) - 2) + 0) / (-4))|x = ((((-4) - 2) + 0) / (-4))|x = (((-6) + 0) / (-4))|x = ((-6) / (-4))|x = [3/2]"
37,49,"(-1x + 2x) = ((-3) + 4)
","(-1x + 2x) = ((-3) + 4)
|(((-1) + 2) * x) = ((-3) + 4)|1x = ((-3) + 4)|1x = 1|x = 1"
38,50,"1x = (2 + 3)
","1x = (2 + 3)
|1x = 5|x = 5"
39,53,"1 = -2x
","1 = -2x
|-2x = 1|(x * (-2)) = 1|((x * (-2)) / (-2)) = (1 / (-2))|(x * ((-2) / (-2))) = (1 / (-2))|(x * 1) = (1 / (-2))|x = (1 / (-2))|x = ([-1/2])"
40,55,"-1x = (-2)
","-1x = (-2)
|(-1x * (-1)) = ((-2) * (-1))|((x * (-1)) * (-1)) = ((-2) * (-1))|(x * ((-1) * (-1))) = ((-2) * (-1))|(x * 1) = ((-2) * (-1))|x = ((-2) * (-1))|x = 2"
41,56,"((-1) + -2x) = (3 + -4x)
","((-1) + -2x) = (3 + -4x)
|(((-1) + -2x) - -4x) = ((3 + -4x) - -4x)|((3 + -4x) - -4x) = (((-1) + -2x) - -4x)|(3 + (-4x - -4x)) = (((-1) + -2x) - -4x)|(3 + (((-4) - (-4)) * x)) = (((-1) + -2x) - -4x)|(3 + (((-4) - (-4)) * x)) = ((-1) + (-2x - -4x))|(3 + (((-4) - (-4)) * x)) = ((-1) + (((-2) - (-4)) * x))|(3 + (((-4) - (-4)) * x)) = ((((-2) - (-4)) * x) + (-1))|(3 + (-4x - -4x)) = ((((-2) - (-4)) * x) + (-1))|((3 + (-4x - -4x)) - (-1)) = (((((-2) - (-4)) * x) + (-1)) - (-1))|((3 + 0) - (-1)) = (((((-2) - (-4)) * x) + (-1)) - (-1))|((3 + 0) - (-1)) = ((((-2) - (-4)) * x) + ((-1) - (-1)))|((3 + 0) - (-1)) = ((((-2) - (-4)) * x) + 0)|((((-2) - (-4)) * x) + 0) = ((3 + 0) - (-1))|((((-2) - (-4)) * x) + 0) = (3 - (-1))|(((-2) - (-4)) * x) = (3 - (-1))|2x = (3 - (-1))|(2x / 2) = ((3 - (-1)) / 2)|((x * 2) / 2) = ((3 - (-1)) / 2)|(x * (2 / 2)) = ((3 - (-1)) / 2)|(x * 1) = ((3 - (-1)) / 2)|x = ((3 - (-1)) / 2)|x = (4 / 2)|x = 2"
42,57,"(((-1) / x) + (-2)) = 3
","(((-1) / x) + (-2)) = 3
|((((-1) / x) + (-2)) - (-2)) = (3 - (-2))|((((-1) / x) + (-2)) - (-2)) = 5|(((-1) / x) + ((-2) - (-2))) = 5|(((-1) / x) + 0) = 5|((((-1) / x) + 0) / 5) = (5 / 5)|(((((-1) / x) + 0) / 5) * x) = ((5 / 5) * x)|((((-1) / x) / 5) * x) = ((5 / 5) * x)|(x * (((-1) / x) / 5)) = ((5 / 5) * x)|((x * ((-1) / x)) / 5) = ((5 / 5) * x)|(((x * (-1)) / x) / 5) = ((5 / 5) * x)|(((x * (-1)) / x) / 5) = 1x|((-1x / x) / 5) = 1x|((-1x / x) / 5) = x|x = ((-1x / x) / 5)|x = (((-1) * (x / x)) / 5)|x = (((-1) * 1) / 5)|x = ((-1) / 5)|x = ([-1/5])"
43,58,"1 = ((-2) + (3 / x))
","1 = ((-2) + (3 / x))
|1 = ((3 / x) + (-2))|(1 - (-2)) = (((3 / x) + (-2)) - (-2))|3 = (((3 / x) + (-2)) - (-2))|(3 / 3) = ((((3 / x) + (-2)) - (-2)) / 3)|((3 / 3) * x) = (((((3 / x) + (-2)) - (-2)) / 3) * x)|1x = (((((3 / x) + (-2)) - (-2)) / 3) * x)|x = (((((3 / x) + (-2)) - (-2)) / 3) * x)|x = ((((3 / x) + ((-2) - (-2))) / 3) * x)|x = ((((3 / x) + 0) / 3) * x)|x = (x * (((3 / x) + 0) / 3))|x = (x * ((3 / x) / 3))|x = ((x * (3 / x)) / 3)|x = (((x * 3) / x) / 3)|x = ((3x / x) / 3)|x = ((3 * (x / x)) / 3)|x = ((3 * 1) / 3)|x = (3 / 3)|x = 1"
44,59,"(((-1) / x) + 2) = 3
","(((-1) / x) + 2) = 3
|((((-1) / x) + 2) - 2) = (3 - 2)|(((-1) / x) + (2 - 2)) = (3 - 2)|(((-1) / x) + 0) = (3 - 2)|(((-1) / x) + 0) = 1|((((-1) / x) + 0) * x) = 1x|(x * (((-1) / x) + 0)) = 1x|(x * ((-1) / x)) = 1x|((x * (-1)) / x) = 1x|(-1x / x) = 1x|((-1) * (x / x)) = 1x|((x / x) * (-1)) = 1x|(1 * (-1)) = 1x|1x = (1 * (-1))|x = (1 * (-1))|x = (-1)"
45,60,"(1x + 2) = (3 - 4x)
","(1x + 2) = (3 - 4x)
|((1x + 2) - 2) = ((3 - 4x) - 2)|((1x + 2) - 2) = ((3 - 2) - 4x)|(1x + (2 - 2)) = ((3 - 2) - 4x)|(1x + 0) = ((3 - 2) - 4x)|1x = ((3 - 2) - 4x)|1x = ((3 - 2) + -4x)|(1x - -4x) = (((3 - 2) + -4x) - -4x)|((1 - (-4)) * x) = (((3 - 2) + -4x) - -4x)|5x = (((3 - 2) + -4x) - -4x)|5x = ((3 - 2) + (-4x - -4x))|5x = ((3 - 2) + 0)|(5x / 5) = (((3 - 2) + 0) / 5)|((x * 5) / 5) = (((3 - 2) + 0) / 5)|(x * (5 / 5)) = (((3 - 2) + 0) / 5)|(x * 1) = (((3 - 2) + 0) / 5)|x = (((3 - 2) + 0) / 5)|x = ((3 - 2) / 5)|x = (1 / 5)|x = [1/5]"
46,61,"(1 + -2x) = 3
","(1 + -2x) = 3
|((1 + -2x) - 1) = (3 - 1)|((-2x + 1) - 1) = (3 - 1)|(-2x + (1 - 1)) = (3 - 1)|((x * (-2)) + (1 - 1)) = (3 - 1)|((x * (-2)) + 0) = (3 - 1)|(x * (-2)) = (3 - 1)|((x * (-2)) / (-2)) = ((3 - 1) / (-2))|(x * ((-2) / (-2))) = ((3 - 1) / (-2))|(x * 1) = ((3 - 1) / (-2))|x = ((3 - 1) / (-2))|x = (2 / (-2))|x = (-1)"
47,63,"1x = (2x + 3)
","1x = (2x + 3)
|1x = (3 + 2x)|(1x - 2x) = ((3 + 2x) - 2x)|((1 - 2) * x) = ((3 + 2x) - 2x)|((1 - 2) * x) = (3 + (2x - 2x))|((1 - 2) * x) = (3 + 0)|((1 - 2) * x) = 3|-1x = 3|(x * (-1)) = 3|((x * (-1)) / (-1)) = (3 / (-1))|(x * ((-1) / (-1))) = (3 / (-1))|(x * 1) = (3 / (-1))|x = (3 / (-1))|x = (-3)"
48,64,"((-1x - 2) + 3) = 4x
","((-1x - 2) + 3) = 4x
|(3 + (-1x - 2)) = 4x|((3 + (-1x - 2)) - -1x) = (4x - -1x)|((3 + (-1x - 2)) - -1x) = ((4 - (-1)) * x)|(3 + ((-1x - 2) - -1x)) = ((4 - (-1)) * x)|((4 - (-1)) * x) = (3 + ((-1x - 2) - -1x))|((4 - (-1)) * x) = (3 + ((-1x - -1x) - 2))|5x = (3 + ((-1x - -1x) - 2))|(5x / 5) = ((3 + ((-1x - -1x) - 2)) / 5)|((x * 5) / 5) = ((3 + ((-1x - -1x) - 2)) / 5)|((x * 5) / 5) = ((3 + (0 - 2)) / 5)|(x * (5 / 5)) = ((3 + (0 - 2)) / 5)|(x * 1) = ((3 + (0 - 2)) / 5)|x = ((3 + (0 - 2)) / 5)|x = ((3 + (-2)) / 5)|x = (1 / 5)|x = [1/5]"
49,65,"((1 - 2) / 3) = x
","((1 - 2) / 3) = x
|x = ((1 - 2) / 3)|x = ((-1) / 3)|x = ([-1/3])"
50,66,"(-1) = (2 + ((-3) / x))
","(-1) = (2 + ((-3) / x))
|((-1) - 2) = ((2 + ((-3) / x)) - 2)|((-1) - 2) = ((((-3) / x) + 2) - 2)|(-3) = ((((-3) / x) + 2) - 2)|(-3) = (((-3) / x) + (2 - 2))|(-3) = (((-3) / x) + 0)|((-3) / (-3)) = ((((-3) / x) + 0) / (-3))|(((-3) / (-3)) * x) = (((((-3) / x) + 0) / (-3)) * x)|1x = (((((-3) / x) + 0) / (-3)) * x)|x = (((((-3) / x) + 0) / (-3)) * x)|x = ((((-3) / x) / (-3)) * x)|x = (x * (((-3) / x) / (-3)))|x = ((x * ((-3) / x)) / (-3))|x = (((x * (-3)) / x) / (-3))|x = ((-3x / x) / (-3))|x = (((-3) * (x / x)) / (-3))|x = (((-3) * 1) / (-3))|x = ((-3) / (-3))|x = 1"
51,67,"-1x = -2x
","-1x = -2x
|(-1x - -2x) = (-2x - -2x)|(((-1) - (-2)) * x) = (-2x - -2x)|1x = (-2x - -2x)|1x = 0|x = 0"
52,68,"(1x + (-2)) = (-3x + (-4))
","(1x + (-2)) = (-3x + (-4))
|((1x + (-2)) - (-2)) = ((-3x + (-4)) - (-2))|((1x + (-2)) - (-2)) = (((-4) + -3x) - (-2))|(1x + ((-2) - (-2))) = (((-4) + -3x) - (-2))|(1x + 0) = (((-4) + -3x) - (-2))|((1x + 0) - -3x) = ((((-4) + -3x) - (-2)) - -3x)|((1x + 0) - -3x) = (((-4) + (-3x - (-2))) - -3x)|((1x + 0) - -3x) = ((-4) + ((-3x - (-2)) - -3x))|((1x + 0) - -3x) = ((-4) + ((-3x - -3x) - (-2)))|((1x + 0) - -3x) = (((-4) + (-3x - -3x)) - (-2))|((1x + 0) - -3x) = (((-4) + 0) - (-2))|((1x + 0) - -3x) = ((-4) - (-2))|(1x - -3x) = ((-4) - (-2))|((1 - (-3)) * x) = ((-4) - (-2))|4x = ((-4) - (-2))|(4x / 4) = (((-4) - (-2)) / 4)|((x * 4) / 4) = (((-4) - (-2)) / 4)|(x * (4 / 4)) = (((-4) - (-2)) / 4)|(x * 1) = (((-4) - (-2)) / 4)|x = (((-4) - (-2)) / 4)|x = ((-2) / 4)|x = ([-1/2])"
53,69,"(-1x + (-2)) = (-3)
","(-1x + (-2)) = (-3)
|((-1x + (-2)) - (-2)) = ((-3) - (-2))|(-1x + ((-2) - (-2))) = ((-3) - (-2))|(-1x + 0) = ((-3) - (-2))|((-1x + 0) * (-1)) = (((-3) - (-2)) * (-1))|(-1x * (-1)) = (((-3) - (-2)) * (-1))|((x * (-1)) * (-1)) = (((-3) - (-2)) * (-1))|(x * ((-1) * (-1))) = (((-3) - (-2)) * (-1))|(x * 1) = (((-3) - (-2)) * (-1))|(x * 1) = ((-1) * (-1))|x = ((-1) * (-1))|x = 1"
54,70,"(-1x - 2) = (3 + 4x)
","(-1x - 2) = (3 + 4x)
|((-1x - 2) - 4x) = ((3 + 4x) - 4x)|((-1x - 4x) - 2) = ((3 + 4x) - 4x)|((3 + 4x) - 4x) = ((-1x - 4x) - 2)|((3 + 4x) - 4x) = ((((-1) - 4) * x) - 2)|(3 + (4x - 4x)) = ((((-1) - 4) * x) - 2)|(3 + (4x - 4x)) = ((((-1) - 4) * x) + (-2))|((3 + (4x - 4x)) - (-2)) = (((((-1) - 4) * x) + (-2)) - (-2))|((3 + 0) - (-2)) = (((((-1) - 4) * x) + (-2)) - (-2))|(3 + (0 - (-2))) = (((((-1) - 4) * x) + (-2)) - (-2))|(3 + (0 - (-2))) = ((((-1) - 4) * x) + ((-2) - (-2)))|(3 + (0 - (-2))) = ((((-1) - 4) * x) + 0)|(3 + (0 - (-2))) = (((-1) - 4) * x)|((0 - (-2)) + 3) = (((-1) - 4) * x)|((0 - (-2)) + 3) = -5x|-5x = ((0 - (-2)) + 3)|(x * (-5)) = ((0 - (-2)) + 3)|(x * (-5)) = (2 + 3)|(x * (-5)) = 5|((x * (-5)) / (-5)) = (5 / (-5))|(x * ((-5) / (-5))) = (5 / (-5))|(x * 1) = (5 / (-5))|x = (5 / (-5))|x = (-1)"
55,71,"(-1x + 2) = (-3)
","(-1x + 2) = (-3)
|((-1x + 2) - 2) = ((-3) - 2)|(-1x + (2 - 2)) = ((-3) - 2)|((x * (-1)) + (2 - 2)) = ((-3) - 2)|((x * (-1)) + 0) = ((-3) - 2)|(x * (-1)) = ((-3) - 2)|((x * (-1)) * (-1)) = (((-3) - 2) * (-1))|(x * ((-1) * (-1))) = (((-3) - 2) * (-1))|(x * 1) = (((-3) - 2) * (-1))|x = (((-3) - 2) * (-1))|x = ((-5) * (-1))|x = 5"
56,72,"((-1) + 2x) = 3
","((-1) + 2x) = 3
|(((-1) + 2x) - (-1)) = (3 - (-1))|((2x + (-1)) - (-1)) = (3 - (-1))|(2x + ((-1) - (-1))) = (3 - (-1))|(2x + 0) = (3 - (-1))|2x = (3 - (-1))|(2x / 2) = ((3 - (-1)) / 2)|((x * 2) / 2) = ((3 - (-1)) / 2)|(x * (2 / 2)) = ((3 - (-1)) / 2)|(x * 1) = ((3 - (-1)) / 2)|x = ((3 - (-1)) / 2)|x = (4 / 2)|x = 2"
57,73,"(-1x + (-2)) = ((-3) + 4x)
","(-1x + (-2)) = ((-3) + 4x)
|((-1x + (-2)) - (-2)) = (((-3) + 4x) - (-2))|(-1x + ((-2) - (-2))) = (((-3) + 4x) - (-2))|(-1x + 0) = (((-3) + 4x) - (-2))|((-1x + 0) - 4x) = ((((-3) + 4x) - (-2)) - 4x)|((-1x + 0) - 4x) = (((4x + (-3)) - (-2)) - 4x)|((-1x + 0) - 4x) = ((4x + ((-3) - (-2))) - 4x)|((-1x + 0) - 4x) = ((((-3) - (-2)) + 4x) - 4x)|((-1x + 0) - 4x) = (((-3) - (-2)) + (4x - 4x))|((-1x + 0) - 4x) = (((-3) - (-2)) + 0)|(-1x - 4x) = (((-3) - (-2)) + 0)|(((-1) - 4) * x) = (((-3) - (-2)) + 0)|-5x = (((-3) - (-2)) + 0)|(x * (-5)) = (((-3) - (-2)) + 0)|((x * (-5)) / (-5)) = ((((-3) - (-2)) + 0) / (-5))|(x * ((-5) / (-5))) = ((((-3) - (-2)) + 0) / (-5))|(x * 1) = ((((-3) - (-2)) + 0) / (-5))|x = ((((-3) - (-2)) + 0) / (-5))|x = (((-1) + 0) / (-5))|x = ((-1) / (-5))|x = [1/5]"
58,74,"(-1x + 2) = ((-3) + 4x)
","(-1x + 2) = ((-3) + 4x)
|((-1x + 2) - 2) = (((-3) + 4x) - 2)|(((-1x + 2) - 2) - 4x) = ((((-3) + 4x) - 2) - 4x)|((-1x + (2 - 2)) - 4x) = ((((-3) + 4x) - 2) - 4x)|((-1x + 0) - 4x) = ((((-3) + 4x) - 2) - 4x)|((-1x + 0) - 4x) = ((((-3) + 4x) - 4x) - 2)|((-1x + 0) - 4x) = (((-3) + (4x - 4x)) - 2)|((-1x + 0) - 4x) = (((-3) + 0) - 2)|(-1x - 4x) = (((-3) + 0) - 2)|(-1x - 4x) = ((-3) - 2)|(((-1) - 4) * x) = ((-3) - 2)|-5x = ((-3) - 2)|(x * (-5)) = ((-3) - 2)|((x * (-5)) / (-5)) = (((-3) - 2) / (-5))|(x * ((-5) / (-5))) = (((-3) - 2) / (-5))|(x * 1) = (((-3) - 2) / (-5))|x = (((-3) - 2) / (-5))|x = ((-5) / (-5))|x = 1"
59,75,"((-1) + -2x) = (-3x + 4)
","((-1) + -2x) = (-3x + 4)
|(((-1) + -2x) - 4) = ((-3x + 4) - 4)|((-3x + 4) - 4) = (((-1) + -2x) - 4)|(((-3x + 4) - 4) - -2x) = ((((-1) + -2x) - 4) - -2x)|((-3x + (4 - 4)) - -2x) = ((((-1) + -2x) - 4) - -2x)|((-3x + 0) - -2x) = ((((-1) + -2x) - 4) - -2x)|((-3x + 0) - -2x) = ((((-1) + -2x) - -2x) - 4)|((-3x + 0) - -2x) = (((-1) + (-2x - -2x)) - 4)|((-3x + 0) - -2x) = (((-1) + 0) - 4)|((-3x + 0) - -2x) = ((-1) - 4)|(-3x - -2x) = ((-1) - 4)|(((-3) - (-2)) * x) = ((-1) - 4)|-1x = ((-1) - 4)|(x * (-1)) = ((-1) - 4)|((x * (-1)) * (-1)) = (((-1) - 4) * (-1))|(x * ((-1) * (-1))) = (((-1) - 4) * (-1))|(x * 1) = (((-1) - 4) * (-1))|x = (((-1) - 4) * (-1))|x = ((-5) * (-1))|x = 5"
60,76,"((-1) - 2x) = (-3)
","((-1) - 2x) = (-3)
|(((-1) - 2x) - (-1)) = ((-3) - (-1))|(((-1) - (-1)) - 2x) = ((-3) - (-1))|(0 - 2x) = ((-3) - (-1))|(0 + -2x) = ((-3) - (-1))|-2x = ((-3) - (-1))|(x * (-2)) = ((-3) - (-1))|((x * (-2)) / (-2)) = (((-3) - (-1)) / (-2))|(x * ((-2) / (-2))) = (((-3) - (-1)) / (-2))|(x * ((-2) / (-2))) = ((-2) / (-2))|(x * 1) = ((-2) / (-2))|x = ((-2) / (-2))|x = 1"
61,77,"(-1) = (-2x / (-3))
","(-1) = (-2x / (-3))
|(-2x / (-3)) = (-1)|((x * (-2)) / (-3)) = (-1)|(x * ((-2) / (-3))) = (-1)|(x * [2/3]) = (-1)|((x * [2/3]) / [2/3]) = ((-1) / [2/3])|(x * ([2/3] / [2/3])) = ((-1) / [2/3])|(x * 1) = ((-1) / [2/3])|x = ((-1) / [2/3])|x = ([-3/2])"
62,79,"(((-1) / x) + (-2)) = (-3)
","(((-1) / x) + (-2)) = (-3)
|((((-1) / x) + (-2)) - (-2)) = ((-3) - (-2))|(((-1) / x) + ((-2) - (-2))) = ((-3) - (-2))|(((-1) / x) + 0) = ((-3) - (-2))|((-1) / x) = ((-3) - (-2))|(((-1) / x) * x) = (((-3) - (-2)) * x)|(x * ((-1) / x)) = (((-3) - (-2)) * x)|((x * (-1)) / x) = (((-3) - (-2)) * x)|(-1x / x) = (((-3) - (-2)) * x)|((-1) * (x / x)) = (((-3) - (-2)) * x)|((x / x) * (-1)) = (((-3) - (-2)) * x)|(1 * (-1)) = (((-3) - (-2)) * x)|(((-3) - (-2)) * x) = (1 * (-1))|-1x = (1 * (-1))|(x * (-1)) = (1 * (-1))|(x * (-1)) = (-1)|((x * (-1)) / (-1)) = ((-1) / (-1))|(x * ((-1) / (-1))) = ((-1) / (-1))|(x * 1) = ((-1) / (-1))|x = ((-1) / (-1))|x = 1"
63,80,"(1x + (-2)) = ((-3) + -4x)
","(1x + (-2)) = ((-3) + -4x)
|((1x + (-2)) - (-2)) = (((-3) + -4x) - (-2))|(1x + ((-2) - (-2))) = (((-3) + -4x) - (-2))|(1x + 0) = (((-3) + -4x) - (-2))|((1x + 0) - -4x) = ((((-3) + -4x) - (-2)) - -4x)|((1x + 0) - -4x) = (((-4x + (-3)) - (-2)) - -4x)|((1x + 0) - -4x) = ((-4x + ((-3) - (-2))) - -4x)|((1x + 0) - -4x) = ((((-3) - (-2)) + -4x) - -4x)|((1x + 0) - -4x) = (((-3) - (-2)) + (-4x - -4x))|((1x + 0) - -4x) = (((-3) - (-2)) + 0)|((1x + 0) - -4x) = ((-3) - (-2))|(1x - -4x) = ((-3) - (-2))|((1 - (-4)) * x) = ((-3) - (-2))|5x = ((-3) - (-2))|(5x / 5) = (((-3) - (-2)) / 5)|((x * 5) / 5) = (((-3) - (-2)) / 5)|(x * (5 / 5)) = (((-3) - (-2)) / 5)|(x * 1) = (((-3) - (-2)) / 5)|x = (((-3) - (-2)) / 5)|x = ((-1) / 5)|x = ([-1/5])"
64,81,"1x = (-2x - 3)
","1x = (-2x - 3)
|(1x - -2x) = ((-2x - 3) - -2x)|((1 - (-2)) * x) = ((-2x - 3) - -2x)|((1 - (-2)) * x) = ((-2x - -2x) - 3)|((1 - (-2)) * x) = (0 - 3)|3x = (0 - 3)|(x * 3) = (0 - 3)|(x * 3) = (-3)|((x * 3) / 3) = ((-3) / 3)|(x * (3 / 3)) = ((-3) / 3)|(x * 1) = ((-3) / 3)|x = ((-3) / 3)|x = (-1)"
65,82,"(-1) = x
","(-1) = x
|x = (-1)"
66,85,"x = ((1 - 2) / (-3))
","x = ((1 - 2) / (-3))
|x = ((-1) / (-3))|x = [1/3]"
67,87,"1x = (2x / x)
","1x = (2x / x)
|x = (2x / x)|x = (2 * (x / x))|x = (2 * 1)|x = 2"
68,88,"(1 + -2x) = (-3)
","(1 + -2x) = (-3)
|((1 + -2x) - 1) = ((-3) - 1)|((-2x + 1) - 1) = ((-3) - 1)|(-2x + (1 - 1)) = ((-3) - 1)|((x * (-2)) + (1 - 1)) = ((-3) - 1)|((x * (-2)) + 0) = ((-3) - 1)|(x * (-2)) = ((-3) - 1)|((x * (-2)) / (-2)) = (((-3) - 1) / (-2))|(x * ((-2) / (-2))) = (((-3) - 1) / (-2))|(x * 1) = (((-3) - 1) / (-2))|x = (((-3) - 1) / (-2))|x = ((-4) / (-2))|x = 2"
69,89,"(-1x + 2) = (3 + -4x)
","(-1x + 2) = (3 + -4x)
|((-1x + 2) - 2) = ((3 + -4x) - 2)|(-1x + (2 - 2)) = ((3 + -4x) - 2)|((-1x + (2 - 2)) - -4x) = (((3 + -4x) - 2) - -4x)|((-1x + 0) - -4x) = (((3 + -4x) - 2) - -4x)|((-1x + 0) - -4x) = (((-4x + 3) - 2) - -4x)|((-1x + 0) - -4x) = ((-4x + (3 - 2)) - -4x)|(-1x - -4x) = ((-4x + (3 - 2)) - -4x)|(((-1) - (-4)) * x) = ((-4x + (3 - 2)) - -4x)|(((-1) - (-4)) * x) = (((3 - 2) + -4x) - -4x)|3x = (((3 - 2) + -4x) - -4x)|3x = ((3 - 2) + (-4x - -4x))|(x * 3) = ((3 - 2) + (-4x - -4x))|((x * 3) / 3) = (((3 - 2) + (-4x - -4x)) / 3)|((x * 3) / 3) = (((3 - 2) + 0) / 3)|(x * (3 / 3)) = (((3 - 2) + 0) / 3)|(x * 1) = (((3 - 2) + 0) / 3)|x = (((3 - 2) + 0) / 3)|x = ((3 - 2) / 3)|x = (1 / 3)|x = [1/3]"
70,90,"1 = (2x + (-3))
","1 = (2x + (-3))
|(1 - (-3)) = ((2x + (-3)) - (-3))|(1 - (-3)) = (2x + ((-3) - (-3)))|(2x + ((-3) - (-3))) = (1 - (-3))|(2x + 0) = (1 - (-3))|2x = (1 - (-3))|(2x / 2) = ((1 - (-3)) / 2)|((x * 2) / 2) = ((1 - (-3)) / 2)|(x * (2 / 2)) = ((1 - (-3)) / 2)|(x * 1) = ((1 - (-3)) / 2)|x = ((1 - (-3)) / 2)|x = (4 / 2)|x = 2"
71,91,"1 = ((2 / x) + (-3))
","1 = ((2 / x) + (-3))
|(1 - (-3)) = (((2 / x) + (-3)) - (-3))|4 = (((2 / x) + (-3)) - (-3))|(4 / 4) = ((((2 / x) + (-3)) - (-3)) / 4)|((4 / 4) * x) = (((((2 / x) + (-3)) - (-3)) / 4) * x)|1x = (((((2 / x) + (-3)) - (-3)) / 4) * x)|x = (((((2 / x) + (-3)) - (-3)) / 4) * x)|x = ((((2 / x) + ((-3) - (-3))) / 4) * x)|x = ((((2 / x) + 0) / 4) * x)|x = (x * (((2 / x) + 0) / 4))|x = ((x * ((2 / x) + 0)) / 4)|x = ((x * (2 / x)) / 4)|x = (((x * 2) / x) / 4)|x = ((2x / x) / 4)|x = ((2 * (x / x)) / 4)|x = ((2 * 1) / 4)|x = (2 / 4)|x = [1/2]"
72,93,"(1x - -2x) = (-3)
","(1x - -2x) = (-3)
|((1 - (-2)) * x) = (-3)|3x = (-3)|(x * 3) = (-3)|((x * 3) / 3) = ((-3) / 3)|(x * (3 / 3)) = ((-3) / 3)|(x * 1) = ((-3) / 3)|x = ((-3) / 3)|x = (-1)"
73,94,"(-1x + 2) = 3
","(-1x + 2) = 3
|((-1x + 2) - 2) = (3 - 2)|(-1x + (2 - 2)) = (3 - 2)|(-1x + 0) = (3 - 2)|((x * (-1)) + 0) = (3 - 2)|(x * (-1)) = (3 - 2)|((x * (-1)) * (-1)) = ((3 - 2) * (-1))|(x * ((-1) * (-1))) = ((3 - 2) * (-1))|(x * 1) = ((3 - 2) * (-1))|x = ((3 - 2) * (-1))|x = (1 * (-1))|x = (-1)"
74,95,"(1 + -2x) = (3 + 4x)
","(1 + -2x) = (3 + 4x)
|((1 + -2x) - 4x) = ((3 + 4x) - 4x)|((3 + 4x) - 4x) = ((1 + -2x) - 4x)|(3 + (4x - 4x)) = ((1 + -2x) - 4x)|(3 + ((4 - 4) * x)) = ((1 + -2x) - 4x)|(3 + ((4 - 4) * x)) = (1 + (-2x - 4x))|(3 + ((4 - 4) * x)) = ((-2x - 4x) + 1)|(3 + ((4 - 4) * x)) = ((((-2) - 4) * x) + 1)|(3 + (4x - 4x)) = ((((-2) - 4) * x) + 1)|((3 + (4x - 4x)) - 1) = (((((-2) - 4) * x) + 1) - 1)|((3 + 0) - 1) = (((((-2) - 4) * x) + 1) - 1)|(3 + (0 - 1)) = (((((-2) - 4) * x) + 1) - 1)|(3 + (0 - 1)) = ((((-2) - 4) * x) + (1 - 1))|(3 + (0 - 1)) = ((((-2) - 4) * x) + 0)|((((-2) - 4) * x) + 0) = (3 + (0 - 1))|((((-2) - 4) * x) + 0) = (3 + (-1))|((((-2) - 4) * x) + 0) = 2|(((-2) - 4) * x) = 2|-6x = 2|(-6x / (-6)) = (2 / (-6))|((x * (-6)) / (-6)) = (2 / (-6))|(x * ((-6) / (-6))) = (2 / (-6))|(x * 1) = (2 / (-6))|x = (2 / (-6))|x = ([-1/3])"
75,96,"(-1) = ((2x + 3x) - 4)
","(-1) = ((2x + 3x) - 4)
|(-1) = ((2x + 3x) + (-4))|((-1) - (-4)) = (((2x + 3x) + (-4)) - (-4))|((-1) - (-4)) = ((((2 + 3) * x) + (-4)) - (-4))|((((2 + 3) * x) + (-4)) - (-4)) = ((-1) - (-4))|(((2 + 3) * x) + ((-4) - (-4))) = ((-1) - (-4))|(((2 + 3) * x) + 0) = ((-1) - (-4))|(5x + 0) = ((-1) - (-4))|((5x + 0) / 5) = (((-1) - (-4)) / 5)|(((x * 5) + 0) / 5) = (((-1) - (-4)) / 5)|((x * 5) / 5) = (((-1) - (-4)) / 5)|(x * (5 / 5)) = (((-1) - (-4)) / 5)|(x * 1) = (((-1) - (-4)) / 5)|x = (((-1) - (-4)) / 5)|x = (3 / 5)|x = [3/5]"
