,Equation Number,Equation Output
31,40,"1 = (2x + 3)
 | None(2x + 3) = 1 | refl2x = (-2) | sub~{assoc~eval~eval~add0} $~{0.0~0.0.1~0.1~0.0}, 3~{((2x + 3) - 3)~(3 - 3)~(1 - 3)~(2x + 0)}x = (-1) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 2~((-2) / 2)~2x~((x * 2) / 2)~(2 / 2)~(x * 1)"
32,41,"(1 + 2x) = (3x + 4)
 | None(2x + 1) = (3x + 4) | comm 0.0, (1 + 2x)((2x + 1) - 1) = ((3x + 4) - 1) | sub 12x = ((3x + 4) - 1) | assoc~eval~add0 0.0~0.0.1~0.0, ((2x + 1) - 1)~(1 - 1)~(2x + 0)2x = (3x + (4 - 1)) | assoc 0.1, ((3x + 4) - 1)-1x = ((4 - 1) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, 3x~(2x - 3x)~(3x + (4 - 1))~(((4 - 1) + 3x) - 3x)~(3x - 3x)~(2 - 3)-1x = 3 | eval~eval 0.1.0~0.1, (4 - 1)~(3 + 0)x = (-3) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-1)~(3 / (-1))~-1x~((x * (-1)) / (-1))~((-1) / (-1))~(x * 1)"
33,43,"((-1) + -2x) = (-3)
 | None-2x = (-2) | {sub~eval~comm}~{assoc~eval~add0} {$~0.1~0.0.0}~{0.0~0.0.1~0.0}, {(-1)~((-3) - (-1))~((-1) + -2x)}~{((-2x + (-1)) - (-1))~((-1) - (-1))~(-2x + 0)}x = 1 | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-2)~((-2) / (-2))~-2x~((x * (-2)) / (-2))~((-2) / (-2))~(x * 1)"
34,44,"((-1) + 2x) = (-3x + (-4))
 | None(2x + (-1)) = (-3x + (-4)) | comm 0.0, ((-1) + 2x)((2x + (-1)) - (-1)) = ((-3x + (-4)) - (-1)) | sub (-1)2x = ((-3x + (-4)) - (-1)) | assoc~eval~add0 0.0~0.0.1~0.0, ((2x + (-1)) - (-1))~((-1) - (-1))~(2x + 0)2x = (-3x + ((-4) - (-1))) | assoc 0.1, ((-3x + (-4)) - (-1))5x = (((-4) - (-1)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -3x~(2x - -3x)~(-3x + ((-4) - (-1)))~((((-4) - (-1)) + -3x) - -3x)~(-3x - -3x)~(2 - (-3))5x = (-3) | eval~eval 0.1.0~0.1, ((-4) - (-1))~((-3) + 0)x = ([-3/5]) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 5~((-3) / 5)~5x~((x * 5) / 5)~(5 / 5)~(x * 1)"
35,45,"(1x - -2x) = 3
 | None((1 - (-2)) * x) = 3 | dist 0.0, (1x - -2x)3x = 3 | eval 0.0.0, (1 - (-2))x = 1 | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 3~(3 / 3)~3x~((x * 3) / 3)~(3 / 3)~(x * 1)"
36,46,"((-1) + 2x) = (3x - 4)
 | None(2x + (-1)) = (3x - 4) | comm 0.0, ((-1) + 2x)((2x + (-1)) - (-1)) = ((3x - 4) - (-1)) | sub (-1)((2x + (-1)) - (-1)) = ((3x + (-4)) - (-1)) | subsub 0.1.0, (3x - 4)2x = ((3x + (-4)) - (-1)) | assoc~eval~add0 0.0~0.0.1~0.0, ((2x + (-1)) - (-1))~((-1) - (-1))~(2x + 0)2x = (3x + ((-4) - (-1))) | assoc 0.1, ((3x + (-4)) - (-1))-1x = (((-4) - (-1)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, 3x~(2x - 3x)~(3x + ((-4) - (-1)))~((((-4) - (-1)) + 3x) - 3x)~(3x - 3x)~(2 - 3)-1x = (-3) | eval~eval 0.1.0~0.1, ((-4) - (-1))~((-3) + 0)x = 3 | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-1)~((-3) / (-1))~-1x~((x * (-1)) / (-1))~((-1) / (-1))~(x * 1)"
37,48,"(-1x + 2) = (3x + (-4))
 | None((-1x + 2) - 2) = ((3x + (-4)) - 2) | sub 2-1x = ((3x + (-4)) - 2) | assoc~eval~add0 0.0~0.0.1~0.0, ((-1x + 2) - 2)~(2 - 2)~(-1x + 0)-1x = (3x + ((-4) - 2)) | assoc 0.1, ((3x + (-4)) - 2)-4x = (((-4) - 2) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, 3x~(-1x - 3x)~(3x + ((-4) - 2))~((((-4) - 2) + 3x) - 3x)~(3x - 3x)~((-1) - 3)-4x = (-6) | eval~eval 0.1.0~0.1, ((-4) - 2)~((-6) + 0)x = [3/2] | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-4)~((-6) / (-4))~-4x~((x * (-4)) / (-4))~((-4) / (-4))~(x * 1)"
38,49,"(-1x + 2x) = ((-3) + 4)
 | None(((-1) + 2) * x) = ((-3) + 4) | dist 0.0, (-1x + 2x)1x = ((-3) + 4) | eval 0.0.0, ((-1) + 2)1x = 1 | eval 0.1, ((-3) + 4)x = 1 | mul1 0.0, 1x"
39,50,"1x = (2 + 3)
 | None1x = 5 | eval 0.1, (2 + 3)x = 5 | mul1 0.0, 1x"
40,51,"((-1) - 2x) = (3 - 4x)
 | None((-1) - 2x) = (3 + -4x) | subsub 0.1, (3 - 4x)((-1) + -2x) = (3 + -4x) | subsub 0.0, ((-1) - 2x)((-1) + -2x) = (-4x + 3) | comm 0.1, (3 + -4x)(-2x + (-1)) = (-4x + 3) | comm 0.0, ((-1) + -2x)((-2x + (-1)) - (-1)) = ((-4x + 3) - (-1)) | sub (-1)-2x = ((-4x + 3) - (-1)) | assoc~eval~add0 0.0~0.0.1~0.0, ((-2x + (-1)) - (-1))~((-1) - (-1))~(-2x + 0)-2x = (-4x + (3 - (-1))) | assoc 0.1, ((-4x + 3) - (-1))2x = ((3 - (-1)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -4x~(-2x - -4x)~(-4x + (3 - (-1)))~(((3 - (-1)) + -4x) - -4x)~(-4x - -4x)~((-2) - (-4))2x = 4 | eval~eval 0.1.0~0.1, (3 - (-1))~(4 + 0)x = 2 | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 2~(4 / 2)~2x~((x * 2) / 2)~(2 / 2)~(x * 1)"
41,53,"1 = -2x
 | None-2x = 1 | reflx = ([-1/2]) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-2)~(1 / (-2))~-2x~((x * (-2)) / (-2))~((-2) / (-2))~(x * 1)"
42,54,"((-1) + -2x) = ((-3) + -4x)
 | None(-2x + (-1)) = ((-3) + -4x) | comm 0.0, ((-1) + -2x)((-2x + (-1)) - (-1)) = (((-3) + -4x) - (-1)) | sub (-1)-2x = (((-3) + -4x) - (-1)) | assoc~eval~add0 0.0~0.0.1~0.0, ((-2x + (-1)) - (-1))~((-1) - (-1))~(-2x + 0)-2x = ((-4x + (-3)) - (-1)) | comm 0.1.0, ((-3) + -4x)-2x = (-4x + ((-3) - (-1))) | assoc 0.1, ((-4x + (-3)) - (-1))2x = (((-3) - (-1)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -4x~(-2x - -4x)~(-4x + ((-3) - (-1)))~((((-3) - (-1)) + -4x) - -4x)~(-4x - -4x)~((-2) - (-4))2x = (-2) | eval~eval 0.1.0~0.1, ((-3) - (-1))~((-2) + 0)x = (-1) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 2~((-2) / 2)~2x~((x * 2) / 2)~(2 / 2)~(x * 1)"
43,55,"-1x = (-2)
 | Nonex = 2 | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-1)~((-2) / (-1))~-1x~((x * (-1)) / (-1))~((-1) / (-1))~(x * 1)"
44,56,"((-1) + -2x) = (3 + -4x)
 | None((-1) + -2x) = (-4x + 3) | comm 0.1, (3 + -4x)(-2x + (-1)) = (-4x + 3) | comm 0.0, ((-1) + -2x)((-2x + (-1)) - (-1)) = ((-4x + 3) - (-1)) | sub (-1)-2x = ((-4x + 3) - (-1)) | assoc~eval~add0 0.0~0.0.1~0.0, ((-2x + (-1)) - (-1))~((-1) - (-1))~(-2x + 0)-2x = (-4x + (3 - (-1))) | assoc 0.1, ((-4x + 3) - (-1))2x = ((3 - (-1)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -4x~(-2x - -4x)~(-4x + (3 - (-1)))~(((3 - (-1)) + -4x) - -4x)~(-4x - -4x)~((-2) - (-4))2x = 4 | eval~eval 0.1.0~0.1, (3 - (-1))~(4 + 0)x = 2 | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 2~(4 / 2)~2x~((x * 2) / 2)~(2 / 2)~(x * 1)"
45,60,"(1x + 2) = (3 - 4x)
 | None(1x + 2) = (3 + -4x) | subsub 0.1, (3 - 4x)(1x + 2) = (-4x + 3) | comm 0.1, (3 + -4x)((1x + 2) - 2) = ((-4x + 3) - 2) | sub 21x = ((-4x + 3) - 2) | assoc~eval~add0 0.0~0.0.1~0.0, ((1x + 2) - 2)~(2 - 2)~(1x + 0)1x = (-4x + (3 - 2)) | assoc 0.1, ((-4x + 3) - 2)5x = ((3 - 2) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -4x~(1x - -4x)~(-4x + (3 - 2))~(((3 - 2) + -4x) - -4x)~(-4x - -4x)~(1 - (-4))5x = 1 | eval~eval 0.1.0~0.1, (3 - 2)~(1 + 0)x = [1/5] | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 5~(1 / 5)~5x~((x * 5) / 5)~(5 / 5)~(x * 1)"
46,61,"(1 + -2x) = 3
 | None-2x = 2 | {sub~eval~comm}~{assoc~eval~add0} {$~0.1~0.0.0}~{0.0~0.0.1~0.0}, {1~(3 - 1)~(1 + -2x)}~{((-2x + 1) - 1)~(1 - 1)~(-2x + 0)}x = (-1) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-2)~(2 / (-2))~-2x~((x * (-2)) / (-2))~((-2) / (-2))~(x * 1)"
47,62,"(((-1) + 2x) + 3x) = ((-4x + (-5)) + 6x)
 | None(3x + ((-1) + 2x)) = ((-4x + (-5)) + 6x) | comm 0.0, (((-1) + 2x) + 3x)(3x + ((-1) + 2x)) = (((-5) + -4x) + 6x) | comm 0.1.0, (-4x + (-5))(3x + (2x + (-1))) = (((-5) + -4x) + 6x) | comm 0.0.1, ((-1) + 2x)((3x + (2x + (-1))) - (-1)) = ((((-5) + -4x) + 6x) - (-1)) | sub (-1)((3x + (2x + (-1))) - (-1)) = ((6x + ((-5) + -4x)) - (-1)) | comm 0.1.0, (((-5) + -4x) + 6x)(3x + ((2x + (-1)) - (-1))) = ((6x + ((-5) + -4x)) - (-1)) | assoc 0.0, ((3x + (2x + (-1))) - (-1))(3x + 2x) = ((6x + ((-5) + -4x)) - (-1)) | assoc~eval~add0 0.0.1~0.0.1.1~0.0.1, ((2x + (-1)) - (-1))~((-1) - (-1))~(2x + 0)(2x + 3x) = ((6x + ((-5) + -4x)) - (-1)) | comm 0.0, (3x + 2x)((2 + 3) * x) = ((6x + ((-5) + -4x)) - (-1)) | dist 0.0, (2x + 3x)((2 + 3) * x) = ((6x + (-4x + (-5))) - (-1)) | comm 0.1.0.1, ((-5) + -4x)((2 + 3) * x) = (((6x + -4x) + (-5)) - (-1)) | assoc 0.1.0, (6x + (-4x + (-5)))((2 + 3) * x) = ((((6 + (-4)) * x) + (-5)) - (-1)) | dist 0.1.0.0, (6x + -4x)5x = ((((6 + (-4)) * x) + (-5)) - (-1)) | eval 0.0.0, (2 + 3)5x = ((2x + (-5)) - (-1)) | eval 0.1.0.0.0, (6 + (-4))5x = (2x + ((-5) - (-1))) | assoc 0.1, ((2x + (-5)) - (-1))3x = (((-5) - (-1)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, 2x~(5x - 2x)~(2x + ((-5) - (-1)))~((((-5) - (-1)) + 2x) - 2x)~(2x - 2x)~(5 - 2)3x = (-4) | eval~eval 0.1.0~0.1, ((-5) - (-1))~((-4) + 0)x = ([-4/3]) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 3~((-4) / 3)~3x~((x * 3) / 3)~(3 / 3)~(x * 1)"
48,63,"1x = (2x + 3)
 | None-1x = (3 + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, 2x~(1x - 2x)~(2x + 3)~((3 + 2x) - 2x)~(2x - 2x)~(1 - 2)-1x = 3 | eval 0.1, (3 + 0)x = (-3) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-1)~(3 / (-1))~-1x~((x * (-1)) / (-1))~((-1) / (-1))~(x * 1)"
49,64,"((-1x - 2) + 3) = 4x
 | None4x = ((-1x - 2) + 3) | refl4x = ((-1x + (-2)) + 3) | subsub 0.1.0, (-1x - 2)4x = (-1x + ((-2) + 3)) | assoc 0.1, ((-1x + (-2)) + 3)5x = (((-2) + 3) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -1x~(4x - -1x)~(-1x + ((-2) + 3))~((((-2) + 3) + -1x) - -1x)~(-1x - -1x)~(4 - (-1))5x = 1 | eval~eval 0.1.0~0.1, ((-2) + 3)~(1 + 0)x = [1/5] | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 5~(1 / 5)~5x~((x * 5) / 5)~(5 / 5)~(x * 1)"
50,65,"((1 - 2) / 3) = x
 | Nonex = ((1 - 2) / 3) | reflx = ([-1/3]) | eval~eval 0.1.0~0.1, (1 - 2)~((-1) / 3)"
51,68,"(1x + (-2)) = (-3x + (-4))
 | None((1x + (-2)) - (-2)) = ((-3x + (-4)) - (-2)) | sub (-2)1x = ((-3x + (-4)) - (-2)) | assoc~eval~add0 0.0~0.0.1~0.0, ((1x + (-2)) - (-2))~((-2) - (-2))~(1x + 0)1x = (-3x + ((-4) - (-2))) | assoc 0.1, ((-3x + (-4)) - (-2))4x = (((-4) - (-2)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -3x~(1x - -3x)~(-3x + ((-4) - (-2)))~((((-4) - (-2)) + -3x) - -3x)~(-3x - -3x)~(1 - (-3))4x = (-2) | eval~eval 0.1.0~0.1, ((-4) - (-2))~((-2) + 0)x = ([-1/2]) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 4~((-2) / 4)~4x~((x * 4) / 4)~(4 / 4)~(x * 1)"
52,69,"(-1x + (-2)) = (-3)
 | None-1x = (-1) | sub~{assoc~eval~eval~add0} $~{0.0~0.0.1~0.1~0.0}, (-2)~{((-1x + (-2)) - (-2))~((-2) - (-2))~((-3) - (-2))~(-1x + 0)}x = 1 | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-1)~((-1) / (-1))~-1x~((x * (-1)) / (-1))~((-1) / (-1))~(x * 1)"
53,70,"(-1x - 2) = (3 + 4x)
 | None(-1x + (-2)) = (3 + 4x) | subsub 0.0, (-1x - 2)(-1x + (-2)) = (4x + 3) | comm 0.1, (3 + 4x)(4x + 3) = (-1x + (-2)) | refl((4x + 3) - 3) = ((-1x + (-2)) - 3) | sub 34x = ((-1x + (-2)) - 3) | assoc~eval~add0 0.0~0.0.1~0.0, ((4x + 3) - 3)~(3 - 3)~(4x + 0)4x = (-1x + ((-2) - 3)) | assoc 0.1, ((-1x + (-2)) - 3)5x = (((-2) - 3) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -1x~(4x - -1x)~(-1x + ((-2) - 3))~((((-2) - 3) + -1x) - -1x)~(-1x - -1x)~(4 - (-1))5x = (-5) | eval~eval 0.1.0~0.1, ((-2) - 3)~((-5) + 0)x = (-1) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 5~((-5) / 5)~5x~((x * 5) / 5)~(5 / 5)~(x * 1)"
54,71,"(-1x + 2) = (-3)
 | None-1x = (-5) | sub~{assoc~eval~eval~add0} $~{0.0~0.0.1~0.1~0.0}, 2~{((-1x + 2) - 2)~(2 - 2)~((-3) - 2)~(-1x + 0)}x = 5 | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-1)~((-5) / (-1))~-1x~((x * (-1)) / (-1))~((-1) / (-1))~(x * 1)"
55,72,"((-1) + 2x) = 3
 | None2x = 4 | {sub~eval~comm}~{assoc~eval~add0} {$~0.1~0.0.0}~{0.0~0.0.1~0.0}, {(-1)~(3 - (-1))~((-1) + 2x)}~{((2x + (-1)) - (-1))~((-1) - (-1))~(2x + 0)}x = 2 | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 2~(4 / 2)~2x~((x * 2) / 2)~(2 / 2)~(x * 1)"
56,73,"(-1x + (-2)) = ((-3) + 4x)
 | None((-1x + (-2)) - (-2)) = (((-3) + 4x) - (-2)) | sub (-2)-1x = (((-3) + 4x) - (-2)) | assoc~eval~add0 0.0~0.0.1~0.0, ((-1x + (-2)) - (-2))~((-2) - (-2))~(-1x + 0)-1x = ((4x + (-3)) - (-2)) | comm 0.1.0, ((-3) + 4x)-1x = (4x + ((-3) - (-2))) | assoc 0.1, ((4x + (-3)) - (-2))-5x = (((-3) - (-2)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, 4x~(-1x - 4x)~(4x + ((-3) - (-2)))~((((-3) - (-2)) + 4x) - 4x)~(4x - 4x)~((-1) - 4)-5x = (-1) | eval~eval 0.1.0~0.1, ((-3) - (-2))~((-1) + 0)x = [1/5] | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-5)~((-1) / (-5))~-5x~((x * (-5)) / (-5))~((-5) / (-5))~(x * 1)"
57,74,"(-1x + 2) = ((-3) + 4x)
 | None(-1x + 2) = (4x + (-3)) | comm 0.1, ((-3) + 4x)((-1x + 2) - 2) = ((4x + (-3)) - 2) | sub 2-1x = ((4x + (-3)) - 2) | assoc~eval~add0 0.0~0.0.1~0.0, ((-1x + 2) - 2)~(2 - 2)~(-1x + 0)-1x = (4x + ((-3) - 2)) | assoc 0.1, ((4x + (-3)) - 2)-5x = (((-3) - 2) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, 4x~(-1x - 4x)~(4x + ((-3) - 2))~((((-3) - 2) + 4x) - 4x)~(4x - 4x)~((-1) - 4)-5x = (-5) | eval~eval 0.1.0~0.1, ((-3) - 2)~((-5) + 0)x = 1 | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-5)~((-5) / (-5))~-5x~((x * (-5)) / (-5))~((-5) / (-5))~(x * 1)"
58,75,"((-1) + -2x) = (-3x + 4)
 | None(-2x + (-1)) = (-3x + 4) | comm 0.0, ((-1) + -2x)((-2x + (-1)) - (-1)) = ((-3x + 4) - (-1)) | sub (-1)-2x = ((-3x + 4) - (-1)) | assoc~eval~add0 0.0~0.0.1~0.0, ((-2x + (-1)) - (-1))~((-1) - (-1))~(-2x + 0)-2x = (-3x + (4 - (-1))) | assoc 0.1, ((-3x + 4) - (-1))1x = ((4 - (-1)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -3x~(-2x - -3x)~(-3x + (4 - (-1)))~(((4 - (-1)) + -3x) - -3x)~(-3x - -3x)~((-2) - (-3))1x = 5 | eval~eval 0.1.0~0.1, (4 - (-1))~(5 + 0)x = 5 | mul1 0.0, 1x"
59,76,"((-1) - 2x) = (-3)
 | None((-1) + -2x) = (-3) | subsub 0.0, ((-1) - 2x)-2x = (-2) | {sub~eval~comm}~{assoc~eval~add0} {$~0.1~0.0.0}~{0.0~0.0.1~0.0}, {(-1)~((-3) - (-1))~((-1) + -2x)}~{((-2x + (-1)) - (-1))~((-1) - (-1))~(-2x + 0)}x = 1 | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-2)~((-2) / (-2))~-2x~((x * (-2)) / (-2))~((-2) / (-2))~(x * 1)"
60,78,"1x = (((2 - 3x) - 4) + 5x)
 | None1x = (((2 + -3x) - 4) + 5x) | subsub 0.1.0.0, (2 - 3x)1x = (5x + ((2 + -3x) - 4)) | comm 0.1, (((2 + -3x) - 4) + 5x)1x = (5x + ((-3x + 2) - 4)) | comm 0.1.1.0, (2 + -3x)-4x = (((-3x + 2) - 4) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, 5x~(1x - 5x)~(5x + ((-3x + 2) - 4))~((((-3x + 2) - 4) + 5x) - 5x)~(5x - 5x)~(1 - 5)-4x = ((-3x + 2) - 4) | add0 0.1, (((-3x + 2) - 4) + 0)-4x = (-3x + (2 - 4)) | assoc 0.1, ((-3x + 2) - 4)-1x = ((2 - 4) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -3x~(-4x - -3x)~(-3x + (2 - 4))~(((2 - 4) + -3x) - -3x)~(-3x - -3x)~((-4) - (-3))-1x = (-2) | eval~eval 0.1.0~0.1, (2 - 4)~((-2) + 0)x = 2 | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-1)~((-2) / (-1))~-1x~((x * (-1)) / (-1))~((-1) / (-1))~(x * 1)"
61,80,"(1x + (-2)) = ((-3) + -4x)
 | None((1x + (-2)) - (-2)) = (((-3) + -4x) - (-2)) | sub (-2)1x = (((-3) + -4x) - (-2)) | assoc~eval~add0 0.0~0.0.1~0.0, ((1x + (-2)) - (-2))~((-2) - (-2))~(1x + 0)1x = ((-4x + (-3)) - (-2)) | comm 0.1.0, ((-3) + -4x)1x = (-4x + ((-3) - (-2))) | assoc 0.1, ((-4x + (-3)) - (-2))5x = (((-3) - (-2)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -4x~(1x - -4x)~(-4x + ((-3) - (-2)))~((((-3) - (-2)) + -4x) - -4x)~(-4x - -4x)~(1 - (-4))5x = (-1) | eval~eval 0.1.0~0.1, ((-3) - (-2))~((-1) + 0)x = ([-1/5]) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 5~((-1) / 5)~5x~((x * 5) / 5)~(5 / 5)~(x * 1)"
62,81,"1x = (-2x - 3)
 | None1x = (-2x + (-3)) | subsub 0.1, (-2x - 3)3x = ((-3) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -2x~(1x - -2x)~(-2x + (-3))~(((-3) + -2x) - -2x)~(-2x - -2x)~(1 - (-2))3x = (-3) | eval 0.1, ((-3) + 0)x = (-1) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 3~((-3) / 3)~3x~((x * 3) / 3)~(3 / 3)~(x * 1)"
63,82,"(-1) = x
 | Nonex = (-1) | refl"
64,83,"((1 + 2x) + 3x) = ((-4x + (-5)) + 6x)
 | None(3x + (1 + 2x)) = ((-4x + (-5)) + 6x) | comm 0.0, ((1 + 2x) + 3x)(3x + (1 + 2x)) = (((-5) + -4x) + 6x) | comm 0.1.0, (-4x + (-5))(3x + (2x + 1)) = (((-5) + -4x) + 6x) | comm 0.0.1, (1 + 2x)(3x + (2x + 1)) = (6x + ((-5) + -4x)) | comm 0.1, (((-5) + -4x) + 6x)((3x + (2x + 1)) - 1) = ((6x + ((-5) + -4x)) - 1) | sub 1(3x + ((2x + 1) - 1)) = ((6x + ((-5) + -4x)) - 1) | assoc 0.0, ((3x + (2x + 1)) - 1)(3x + 2x) = ((6x + ((-5) + -4x)) - 1) | assoc~eval~add0 0.0.1~0.0.1.1~0.0.1, ((2x + 1) - 1)~(1 - 1)~(2x + 0)(2x + 3x) = ((6x + ((-5) + -4x)) - 1) | comm 0.0, (3x + 2x)((2 + 3) * x) = ((6x + ((-5) + -4x)) - 1) | dist 0.0, (2x + 3x)5x = ((6x + ((-5) + -4x)) - 1) | eval 0.0.0, (2 + 3)5x = ((6x + (-4x + (-5))) - 1) | comm 0.1.0.1, ((-5) + -4x)5x = (((6x + -4x) + (-5)) - 1) | assoc 0.1.0, (6x + (-4x + (-5)))5x = ((((6 + (-4)) * x) + (-5)) - 1) | dist 0.1.0.0, (6x + -4x)5x = ((2x + (-5)) - 1) | eval 0.1.0.0.0, (6 + (-4))5x = (2x + ((-5) - 1)) | assoc 0.1, ((2x + (-5)) - 1)3x = (((-5) - 1) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, 2x~(5x - 2x)~(2x + ((-5) - 1))~((((-5) - 1) + 2x) - 2x)~(2x - 2x)~(5 - 2)3x = (-6) | eval~eval 0.1.0~0.1, ((-5) - 1)~((-6) + 0)x = (-2) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 3~((-6) / 3)~3x~((x * 3) / 3)~(3 / 3)~(x * 1)"
65,85,"x = ((1 - 2) / (-3))
 | Nonex = [1/3] | eval~eval 0.1.0~0.1, (1 - 2)~((-1) / (-3))"
66,86,"(1 + -2x) = ((-3) + 4x)
 | None(-2x + 1) = ((-3) + 4x) | comm 0.0, (1 + -2x)(-2x + 1) = (4x + (-3)) | comm 0.1, ((-3) + 4x)((-2x + 1) - 1) = ((4x + (-3)) - 1) | sub 1-2x = ((4x + (-3)) - 1) | assoc~eval~add0 0.0~0.0.1~0.0, ((-2x + 1) - 1)~(1 - 1)~(-2x + 0)-2x = (4x + ((-3) - 1)) | assoc 0.1, ((4x + (-3)) - 1)-6x = (((-3) - 1) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, 4x~(-2x - 4x)~(4x + ((-3) - 1))~((((-3) - 1) + 4x) - 4x)~(4x - 4x)~((-2) - 4)-6x = (-4) | eval~eval 0.1.0~0.1, ((-3) - 1)~((-4) + 0)x = [2/3] | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-6)~((-4) / (-6))~-6x~((x * (-6)) / (-6))~((-6) / (-6))~(x * 1)"
