,Equation Number,Equation Output
105,135,"(1 + (2 / x)) = 3
 | (2 / x) = 2 | ((2 / x) * 2) = (2 * 2) | (2 * (2 / x)) = (2 * 2) | (2 * 2) = (2 * (2 / x)) | (2 * 2) = ((2 * 2) / x) | ((2 * 2) * x) = (((2 * 2) / x) * x) | ((2 * 2) * x) = (x * ((2 * 2) / x)) | (x * ((2 * 2) / x)) = ((2 * 2) * x) | (x * (2 * (2 / x))) = ((2 * 2) * x) | ((x * 2) * (2 / x)) = ((2 * 2) * x) | (2x * (2 / x)) = ((2 * 2) * x) | ((2 * 2) * x) = (2x * (2 / x)) | 4x = (2x * (2 / x)) | 4x = ((x * 2) * (2 / x)) | 4x = (((x * 2) * 2) / x) | 4x = ((x * (2 * 2)) / x) | 4x = (((2 * 2) * x) / x) | 4x = ((2 * 2) * (x / x)) | 4x = ((2 * 2) * 1) | 4x = 4 | x = 1"
106,136,"((-1) + 2x) = (3 + 4x)
 | (2x + (-1)) = (3 + 4x) | (2x + (-1)) = (4x + 3) | ((2x + (-1)) - (-1)) = ((4x + 3) - (-1)) | 2x = ((4x + 3) - (-1)) | 2x = (4x + (3 - (-1))) | -2x = ((3 - (-1)) + 0) | -2x = 4 | x = (-2)"
107,137,"((1 + 2x) + 3) = 4x
 | 4x = ((1 + 2x) + 3) | 4x = ((2x + 1) + 3) | 4x = (2x + (1 + 3)) | 2x = ((1 + 3) + 0) | 2x = 4 | x = 2"
108,138,"(1 + 2x) = (3 + 4x)
 | (2x + 1) = (3 + 4x) | (2x + 1) = (4x + 3) | ((2x + 1) - 1) = ((4x + 3) - 1) | 2x = ((4x + 3) - 1) | 2x = (4x + (3 - 1)) | -2x = ((3 - 1) + 0) | -2x = 2 | x = (-1)"
109,139,"1x = ((-2) - 3x)
 | 1x = ((-2) + -3x) | 1x = (-3x + (-2)) | 4x = ((-2) + 0) | 4x = (-2) | x = ([-1/2])"
110,140,"(1x + 2) = (3x + 4)
 | ((1x + 2) - 2) = ((3x + 4) - 2) | 1x = ((3x + 4) - 2) | 1x = (3x + (4 - 2)) | -2x = ((4 - 2) + 0) | -2x = 2 | x = (-1)"
111,141,"(((-1) - 2x) + 3) = -4x
 | -4x = (((-1) - 2x) + 3) | -4x = (((-1) + -2x) + 3) | -4x = ((-2x + (-1)) + 3) | -4x = (-2x + ((-1) + 3)) | -2x = (((-1) + 3) + 0) | -2x = 2 | x = (-1)"
112,142,"((-1x + 2) - 3x) = (((-4) + 5x) - 6x)
 | ((-1x + 2) - 3x) = ((5x + (-4)) - 6x) | ((-1x + 2) + -3x) = ((5x + (-4)) - 6x) | (-3x + (-1x + 2)) = ((5x + (-4)) - 6x) | ((-3x + -1x) + 2) = ((5x + (-4)) - 6x) | ((5x + (-4)) - 6x) = ((-3x + -1x) + 2) | ((5x + (-4)) + -6x) = ((-3x + -1x) + 2) | (5x + ((-4) + -6x)) = ((-3x + -1x) + 2) | (5x + (-6x + (-4))) = ((-3x + -1x) + 2) | ((5x + (-6x + (-4))) - (-4)) = (((-3x + -1x) + 2) - (-4)) | (5x + ((-6x + (-4)) - (-4))) = (((-3x + -1x) + 2) - (-4)) | (5x + -6x) = (((-3x + -1x) + 2) - (-4)) | ((5 + (-6)) * x) = (((-3x + -1x) + 2) - (-4)) | -1x = (((-3x + -1x) + 2) - (-4)) | -1x = (((((-3) + (-1)) * x) + 2) - (-4)) | -1x = ((-4x + 2) - (-4)) | -1x = (-4x + (2 - (-4))) | 3x = ((2 - (-4)) + 0) | 3x = 6 | x = 2"
113,143,"(1x + 2) = ((-3) + -4x)
 | (1x + 2) = (-4x + (-3)) | ((1x + 2) - 2) = ((-4x + (-3)) - 2) | 1x = ((-4x + (-3)) - 2) | 1x = (-4x + ((-3) - 2)) | 5x = (((-3) - 2) + 0) | 5x = (-5) | x = (-1)"
114,144,"((-1) + 2x) = ((-3) + -4x)
 | (2x + (-1)) = ((-3) + -4x) | ((2x + (-1)) - (-1)) = (((-3) + -4x) - (-1)) | 2x = (((-3) + -4x) - (-1)) | 2x = ((-4x + (-3)) - (-1)) | 2x = (-4x + ((-3) - (-1))) | 6x = (((-3) - (-1)) + 0) | 6x = (-2) | x = ([-1/3])"
115,147,"((-1) - 2x) = -3x
 | -3x = ((-1) - 2x) | -3x = ((-1) + -2x) | -3x = (-2x + (-1)) | -1x = ((-1) + 0) | -1x = (-1) | x = 1"
116,148,"(1x + 2) = (-3x + 4)
 | ((1x + 2) - 2) = ((-3x + 4) - 2) | 1x = ((-3x + 4) - 2) | 1x = (-3x + (4 - 2)) | 4x = ((4 - 2) + 0) | 4x = 2 | x = [1/2]"
117,150,"((1 + 2x) - 3) = 4x
 | 4x = ((1 + 2x) - 3) | 4x = ((2x + 1) - 3) | 4x = (2x + (1 - 3)) | 2x = ((1 - 3) + 0) | 2x = (-2) | x = (-1)"
118,151,"((-1) + -2x) = (3x + (-4))
 | (-2x + (-1)) = (3x + (-4)) | ((-2x + (-1)) - (-1)) = ((3x + (-4)) - (-1)) | -2x = ((3x + (-4)) - (-1)) | -2x = (3x + ((-4) - (-1))) | -5x = (((-4) - (-1)) + 0) | -5x = (-3) | x = [3/5]"
119,152,"(((-1) + 2x) + 3x) = ((4 + -5x) + 6x)
 | (3x + ((-1) + 2x)) = ((4 + -5x) + 6x) | (3x + ((-1) + 2x)) = (6x + (4 + -5x)) | (3x + (2x + (-1))) = (6x + (4 + -5x)) | ((3x + (2x + (-1))) - (-1)) = ((6x + (4 + -5x)) - (-1)) | (3x + ((2x + (-1)) - (-1))) = ((6x + (4 + -5x)) - (-1)) | (3x + 2x) = ((6x + (4 + -5x)) - (-1)) | ((3 + 2) * x) = ((6x + (4 + -5x)) - (-1)) | 5x = ((6x + (4 + -5x)) - (-1)) | 5x = (6x + ((4 + -5x) - (-1))) | -1x = (((4 + -5x) - (-1)) + 0) | -1x = (((-5x + 4) - (-1)) + 0) | -1x = ((-5x + (4 - (-1))) + 0) | -1x = (-5x + (4 - (-1))) | 4x = ((4 - (-1)) + 0) | 4x = 5 | x = [5/4]"
120,153,"-1x = ((-2) + 3)
 | -1x = 1 | x = (-1)"
121,155,"(-1) = (-2x + 3)
 | (-2x + 3) = (-1) | -2x = (-4) | x = 2"
122,156,"(1 + 2x) = ((-3) + 4x)
 | (2x + 1) = ((-3) + 4x) | (2x + 1) = (4x + (-3)) | ((2x + 1) - 1) = ((4x + (-3)) - 1) | 2x = ((4x + (-3)) - 1) | 2x = (4x + ((-3) - 1)) | -2x = (((-3) - 1) + 0) | -2x = (-4) | x = 2"
123,157,"(1 + 2x) = (3 + -4x)
 | (2x + 1) = (3 + -4x) | (2x + 1) = (-4x + 3) | ((2x + 1) - 1) = ((-4x + 3) - 1) | 2x = ((-4x + 3) - 1) | 2x = (-4x + (3 - 1)) | 6x = ((3 - 1) + 0) | 6x = 2 | x = [1/3]"
124,159,"-1x = (2x - 3)
 | -1x = (2x + (-3)) | -3x = ((-3) + 0) | -3x = (-3) | x = 1"
125,160,"((1 + -2x) + 3x) = ((-4x + 5) + 6x)
 | (3x + (1 + -2x)) = ((-4x + 5) + 6x) | (3x + (-2x + 1)) = ((-4x + 5) + 6x) | (3x + (-2x + 1)) = (6x + (-4x + 5)) | (3x + (-2x + 1)) = ((6x + -4x) + 5) | (3x + (-2x + 1)) = (((6 + (-4)) * x) + 5) | ((3x + (-2x + 1)) - 1) = ((((6 + (-4)) * x) + 5) - 1) | (3x + ((-2x + 1) - 1)) = ((((6 + (-4)) * x) + 5) - 1) | (3x + -2x) = ((((6 + (-4)) * x) + 5) - 1) | ((3 + (-2)) * x) = ((((6 + (-4)) * x) + 5) - 1) | 1x = ((((6 + (-4)) * x) + 5) - 1) | 1x = ((2x + 5) - 1) | 1x = (2x + (5 - 1)) | -1x = ((5 - 1) + 0) | -1x = 4 | x = (-4)"
126,161,"((-1) + -2x) = (3x + 4)
 | (-2x + (-1)) = (3x + 4) | ((-2x + (-1)) - (-1)) = ((3x + 4) - (-1)) | -2x = ((3x + 4) - (-1)) | -2x = (3x + (4 - (-1))) | -5x = ((4 - (-1)) + 0) | -5x = 5 | x = (-1)"
127,162,"(1x + (-2)) = (3x + (-4))
 | ((1x + (-2)) - (-2)) = ((3x + (-4)) - (-2)) | 1x = ((3x + (-4)) - (-2)) | 1x = (3x + ((-4) - (-2))) | -2x = (((-4) - (-2)) + 0) | -2x = (-2) | x = 1"
128,165,"(-1x - 2) = (3 - 4x)
 | (-1x - 2) = (3 + -4x) | ((-1x - 2) + 2) = ((3 + -4x) + 2) | ((-1x + (-2)) + 2) = ((3 + -4x) + 2) | -1x = ((3 + -4x) + 2) | -1x = ((-4x + 3) + 2) | -1x = (-4x + (3 + 2)) | 3x = ((3 + 2) + 0) | 3x = 5 | x = [5/3]"
129,166,"-1x = ((2 + -3x) - 4)
 | -1x = ((-3x + 2) - 4) | -1x = (-3x + (2 - 4)) | 2x = ((2 - 4) + 0) | 2x = (-2) | x = (-1)"
130,167,"1 = (-2x + (-3))
 | (-2x + (-3)) = 1 | -2x = 4 | x = (-2)"
131,168,"(1 - 2) = (-3x - 4x)
 | (1 - 2) = (((-3) - 4) * x) | (((-3) - 4) * x) = (1 - 2) | -7x = (1 - 2) | -7x = (-1) | x = [1/7]"
132,169,"((-1) - 2) = -3x
 | -3x = ((-1) - 2) | -3x = (-3) | x = 1"
133,170,"1 = (-2x + 3)
 | (-2x + 3) = 1 | -2x = (-2) | x = 1"
134,172,"(-1) = (2x + 3)
 | (2x + 3) = (-1) | 2x = (-4) | x = (-2)"
135,173,"1 = 2x
 | 2x = 1 | x = [1/2]"
136,174,"(1 - 2) = -3x
 | -3x = (1 - 2) | -3x = (-1) | x = [1/3]"
137,175,"(1 + 2x) = -3x
 | -3x = (1 + 2x) | -3x = (2x + 1) | -5x = (1 + 0) | -5x = 1 | x = ([-1/5])"
138,176,"(1x - 2) = 3x
 | 3x = (1x - 2) | 3x = (1x + (-2)) | 2x = ((-2) + 0) | 2x = (-2) | x = (-1)"
139,177,"(1x / x) = 2x
 | ((1x / x) * 1) = (2x * 1) | ((1x / x) * 1) = (1 * 2x) | (1x / x) = (1 * 2x) | (x / x) = (1 * 2x) | 1 = (1 * 2x) | (1 * 2x) = 1 | 2x = 1 | x = [1/2]"
140,178,"(-1x + (-2)) = (3x + 4)
 | ((-1x + (-2)) - (-2)) = ((3x + 4) - (-2)) | -1x = ((3x + 4) - (-2)) | -1x = (3x + (4 - (-2))) | -4x = ((4 - (-2)) + 0) | -4x = 6 | x = ([-3/2])"
141,179,"((1x - 2) + 3) = 4x
 | 4x = ((1x - 2) + 3) | 4x = ((1x + (-2)) + 3) | 4x = (1x + ((-2) + 3)) | 3x = (((-2) + 3) + 0) | 3x = 1 | x = [1/3]"
142,180,"(-1) = ((2x + 3) + 4x)
 | (-1) = (2x + (3 + 4x)) | (-1) = (2x + (4x + 3)) | (-1) = ((2x + 4x) + 3) | (-1) = (((2 + 4) * x) + 3) | (-1) = (6x + 3) | (6x + 3) = (-1) | 6x = (-4) | x = ([-2/3])"
143,181,"(1x + 2) = (3x + (-4))
 | ((1x + 2) - 2) = ((3x + (-4)) - 2) | 1x = ((3x + (-4)) - 2) | 1x = (3x + ((-4) - 2)) | -2x = (((-4) - 2) + 0) | -2x = (-6) | x = 3"
144,182,"(1 + -2x) = (3x + 4)
 | (-2x + 1) = (3x + 4) | ((-2x + 1) - 1) = ((3x + 4) - 1) | -2x = ((3x + 4) - 1) | -2x = (3x + (4 - 1)) | -5x = ((4 - 1) + 0) | -5x = 3 | x = ([-3/5])"
145,183,"(((-1) + 2x) + 3) = ((4 + 5x) + 6)
 | ((2x + (-1)) + 3) = ((4 + 5x) + 6) | (2x + ((-1) + 3)) = ((4 + 5x) + 6) | (2x + 2) = ((4 + 5x) + 6) | (2x + 2) = ((5x + 4) + 6) | ((2x + 2) - 2) = (((5x + 4) + 6) - 2) | 2x = (((5x + 4) + 6) - 2) | 2x = ((5x + (4 + 6)) - 2) | 2x = (5x + ((4 + 6) - 2)) | 2x = (5x + 8) | -3x = (8 + 0) | -3x = 8 | x = ([-8/3])"
146,185,"1x = (-2)
 | x = (-2)"
147,186,"((-1x + (-2)) - 3) = 4x
 | 4x = ((-1x + (-2)) - 3) | 4x = (-1x + ((-2) - 3)) | 5x = (((-2) - 3) + 0) | 5x = (-5) | x = (-1)"
148,187,"1x = (2 - 3)
 | 1x = (-1) | x = (-1)"
149,188,"((-1) + -2x) = ((-3) + 4x)
 | (-2x + (-1)) = ((-3) + 4x) | ((-2x + (-1)) - (-1)) = (((-3) + 4x) - (-1)) | ((-2x + (-1)) - (-1)) = ((4x + (-3)) - (-1)) | -2x = ((4x + (-3)) - (-1)) | -2x = (4x + ((-3) - (-1))) | -6x = (((-3) - (-1)) + 0) | -6x = (-2) | x = [1/3]"
150,189,"(-1) = (-2x + (-3))
 | (-2x + (-3)) = (-1) | -2x = 2 | x = (-1)"
151,190,"(-1x + (-2)) = 3
 | -1x = 5 | x = (-5)"
152,191,"(1x + 2) = (3 + 4x)
 | (1x + 2) = (4x + 3) | ((1x + 2) - 2) = ((4x + 3) - 2) | 1x = ((4x + 3) - 2) | 1x = (4x + (3 - 2)) | -3x = ((3 - 2) + 0) | -3x = 1 | x = ([-1/3])"
153,192,"((1x + 2) + 3x) = 4
 | ((3x + (1x + 2)) - 2) = 2 | (((3x + 1x) + 2) - 2) = 2 | (3x + 1x) = 2 | ((3 + 1) * x) = 2 | 4x = 2 | x = [1/2]"
154,193,"(-1x + 2) = (-3x - 4)
 | ((-1x + 2) - 2) = ((-3x - 4) - 2) | ((-1x + 2) - 2) = ((-3x + (-4)) - 2) | -1x = ((-3x + (-4)) - 2) | -1x = (-3x + ((-4) - 2)) | 2x = (((-4) - 2) + 0) | 2x = (-6) | x = (-3)"
155,194,"1 = ((-2x + 3) + 4x)
 | 1 = (4x + (-2x + 3)) | 1 = ((4x + -2x) + 3) | 1 = (((4 + (-2)) * x) + 3) | 1 = (2x + 3) | (2x + 3) = 1 | 2x = (-2) | x = (-1)"
156,195,"(1 + -2x) = (-3x + 4)
 | (-2x + 1) = (-3x + 4) | ((-2x + 1) - 1) = ((-3x + 4) - 1) | -2x = ((-3x + 4) - 1) | -2x = (-3x + (4 - 1)) | 1x = ((4 - 1) + 0) | 1x = 3 | x = 3"
157,196,"-1x = (2 - 3)
 | -1x = (-1) | x = 1"
158,200,"(1 + 2x) = (-3x + (-4))
 | (2x + 1) = (-3x + (-4)) | ((2x + 1) - 1) = ((-3x + (-4)) - 1) | 2x = ((-3x + (-4)) - 1) | 2x = (-3x + ((-4) - 1)) | 5x = (((-4) - 1) + 0) | 5x = (-5) | x = (-1)"
159,201,"(-1) = (2x - 3)
 | (-1) = (2x + (-3)) | (2x + (-3)) = (-1) | 2x = 2 | x = 1"
160,202,"-1x = ((-2x + 3) + 4)
 | -1x = (-2x + (3 + 4)) | 1x = ((3 + 4) + 0) | 1x = 7 | x = 7"
161,203,"((1 - 2x) - 3) = ((4 + 5x) - 6)
 | ((1 + -2x) - 3) = ((4 + 5x) - 6) | ((-2x + 1) - 3) = ((4 + 5x) - 6) | ((-2x + 1) - 3) = ((5x + 4) - 6) | (((-2x + 1) - 3) - 4) = (((5x + 4) - 6) - 4) | (((-2x + 1) - 3) - 4) = (((5x + 4) - 4) - 6) | (((-2x + 1) - 3) - 4) = ((5x + (4 - 4)) - 6) | (((-2x + 1) - 3) - 4) = ((5x + 0) - 6) | (((-2x + 1) - 3) - 4) = (5x + (0 - 6)) | (5x + (0 - 6)) = (((-2x + 1) - 3) - 4) | (5x + (-6)) = (((-2x + 1) - 3) - 4) | ((5x + (-6)) - (-6)) = ((((-2x + 1) - 3) - 4) - (-6)) | 5x = ((((-2x + 1) - 3) - 4) - (-6)) | 5x = (((-2x + (1 - 3)) - 4) - (-6)) | 5x = ((-2x + ((1 - 3) - 4)) - (-6)) | 5x = (-2x + (((1 - 3) - 4) - (-6))) | 5x = (-2x + ((-6) - (-6))) | 7x = (((-6) - (-6)) + 0) | 7x = 0 | x = 0"
162,204,"(1x + (-2)) = (3 + 4x)
 | (1x + (-2)) = (4x + 3) | ((1x + (-2)) - (-2)) = ((4x + 3) - (-2)) | 1x = ((4x + 3) - (-2)) | 1x = (4x + (3 - (-2))) | -3x = ((3 - (-2)) + 0) | -3x = 5 | x = ([-5/3])"
163,205,"(((-1) + 2x) + 3) = (4 + 5)
 | ((2x + (-1)) + 3) = (4 + 5) | (2x + ((-1) + 3)) = (4 + 5) | (2x + ((-1) + 3)) = 9 | (2x + 2) = 9 | 2x = 7 | x = [7/2]"
164,206,"((-1x + 2) + 3x) = (((-4) - 5x) + 6x)
 | ((-1x + 2) + 3x) = (((-4) + -5x) + 6x) | ((-1x + 2) + 3x) = (6x + ((-4) + -5x)) | (3x + (-1x + 2)) = (6x + ((-4) + -5x)) | (3x + (2 + -1x)) = (6x + ((-4) + -5x)) | (3x + (2 + -1x)) = (6x + (-5x + (-4))) | (3x + (2 + -1x)) = ((6x + -5x) + (-4)) | (3x + (2 + -1x)) = (((6 + (-5)) * x) + (-4)) | (3x + (2 + -1x)) = ((((-5) + 6) * x) + (-4)) | (3x + (-1x + 2)) = ((((-5) + 6) * x) + (-4)) | ((3x + (-1x + 2)) - 2) = (((((-5) + 6) * x) + (-4)) - 2) | (3x + ((-1x + 2) - 2)) = (((((-5) + 6) * x) + (-4)) - 2) | (3x + -1x) = (((((-5) + 6) * x) + (-4)) - 2) | ((3 + (-1)) * x) = (((((-5) + 6) * x) + (-4)) - 2) | 2x = (((((-5) + 6) * x) + (-4)) - 2) | 2x = ((1x + (-4)) - 2) | 2x = (1x + ((-4) - 2)) | 1x = (((-4) - 2) + 0) | 1x = (-6) | x = (-6)"
165,207,"(-1) = (-2x - 3)
 | (-1) = (-2x + (-3)) | (-2x + (-3)) = (-1) | -2x = 2 | x = (-1)"
166,208,"((1x + 2) - 3x) = (4x - 5x)
 | (4x - 5x) = ((1x + 2) - 3x) | ((4 - 5) * x) = ((1x + 2) - 3x) | -1x = ((1x + 2) - 3x) | -1x = ((1x + 2) + -3x) | -1x = (-3x + (1x + 2)) | 2x = ((1x + 2) + 0) | 2x = (1x + 2) | 1x = (2 + 0) | 1x = 2 | x = 2"
167,209,"(-1) = (2 + -3x)
 | (-1) = (-3x + 2) | (-3x + 2) = (-1) | -3x = (-3) | x = 1"
168,210,"1x = (2 + 3x)
 | 1x = (3x + 2) | -2x = (2 + 0) | -2x = 2 | x = (-1)"
169,211,"((-1) + 2x) = (3x + 4)
 | (2x + (-1)) = (3x + 4) | ((2x + (-1)) - (-1)) = ((3x + 4) - (-1)) | 2x = ((3x + 4) - (-1)) | 2x = (3x + (4 - (-1))) | -1x = ((4 - (-1)) + 0) | -1x = 5 | x = (-5)"
170,212,"(-1x + (-2)) = (3 + 4x)
 | (-1x + (-2)) = (4x + 3) | (4x + 3) = (-1x + (-2)) | ((4x + 3) - 3) = ((-1x + (-2)) - 3) | 4x = ((-1x + (-2)) - 3) | 4x = (-1x + ((-2) - 3)) | 5x = (((-2) - 3) + 0) | 5x = (-5) | x = (-1)"
171,213,"(-1) = ((2x - 3) + 4x)
 | ((-1) + 3) = (((2x - 3) + 4x) + 3) | (((-1) + 3) - 3) = ((((2x - 3) + 4x) + 3) - 3) | (((-1) + 3) - 3) = ((((2x + (-3)) + 4x) + 3) - 3) | (((-1) + 3) - 3) = (((4x + (2x + (-3))) + 3) - 3) | (((-1) + 3) - 3) = ((((4x + 2x) + (-3)) + 3) - 3) | (((-1) + 3) - 3) = (((((4 + 2) * x) + (-3)) + 3) - 3) | (((-1) + 3) - 3) = (((6x + (-3)) + 3) - 3) | (((-1) + 3) - 3) = ((6x + ((-3) + 3)) - 3) | (((-1) + 3) - 3) = ((6x + 0) - 3) | ((6x + 0) - 3) = (((-1) + 3) - 3) | ((6x + 0) - 3) = (-1) | (6x + 0) = 2 | 6x = 2 | x = [1/3]"
172,215,"(1 + 2x) = (3x + (-4))
 | (2x + 1) = (3x + (-4)) | ((2x + 1) - 1) = ((3x + (-4)) - 1) | 2x = ((3x + (-4)) - 1) | 2x = (3x + ((-4) - 1)) | -1x = (((-4) - 1) + 0) | -1x = (-5) | x = 5"
173,216,"((-1x - 2) + 3x) = 4
 | ((3x + (-1x - 2)) - 2) = 2 | ((3x + (-1x + (-2))) - 2) = 2 | (3x + ((-1x + (-2)) - 2)) = 2 | (3x + (-1x + ((-2) - 2))) = 2 | ((3x + -1x) + ((-2) - 2)) = 2 | (((3 + (-1)) * x) + ((-2) - 2)) = 2 | (2x + ((-2) - 2)) = 2 | (2x + (-4)) = 2 | 2x = 6 | x = 3"
174,217,"(1 + -2x) = (3x + (-4))
 | (-2x + 1) = (3x + (-4)) | ((-2x + 1) - 1) = ((3x + (-4)) - 1) | -2x = ((3x + (-4)) - 1) | -2x = (3x + ((-4) - 1)) | -5x = (((-4) - 1) + 0) | -5x = (-5) | x = 1"
175,218,"1 = ((-2) + 3x)
 | 1 = (3x + (-2)) | (3x + (-2)) = 1 | 3x = 3 | x = 1"
176,219,"(1 + 2x) = (-3)
 | 2x = (-4) | x = (-2)"
177,222,"((-1) - 2x) = (-3x - 4)
 | ((-1) + -2x) = (-3x - 4) | (-2x + (-1)) = (-3x - 4) | ((-2x + (-1)) - (-1)) = ((-3x - 4) - (-1)) | -2x = ((-3x - 4) - (-1)) | -2x = ((-3x + (-4)) - (-1)) | -2x = (-3x + ((-4) - (-1))) | 1x = (((-4) - (-1)) + 0) | 1x = (-3) | x = (-3)"
178,224,"(1x + 2) = 3
 | x = 1"
179,226,"1 = (2 + -3x)
 | 1 = (-3x + 2) | (-3x + 2) = 1 | -3x = (-1) | x = [1/3]"
180,227,"((-1) - 2x) = ((-3) - 4x)
 | ((-1) - 2x) = ((-3) + -4x) | ((-1) + -2x) = ((-3) + -4x) | (-2x + (-1)) = ((-3) + -4x) | ((-2x + (-1)) - (-1)) = (((-3) + -4x) - (-1)) | -2x = (((-3) + -4x) - (-1)) | -2x = ((-4x + (-3)) - (-1)) | -2x = (-4x + ((-3) - (-1))) | 2x = (((-3) - (-1)) + 0) | 2x = (-2) | x = (-1)"
181,228,"(-1x + (-2)) = (3x + (-4))
 | ((-1x + (-2)) - (-2)) = ((3x + (-4)) - (-2)) | -1x = ((3x + (-4)) - (-2)) | -1x = (3x + ((-4) - (-2))) | -4x = (((-4) - (-2)) + 0) | -4x = (-2) | x = [1/2]"
182,229,"(-1) = (-2x + 3x)
 | (-1) = (((-2) + 3) * x) | (((-2) + 3) * x) = (-1) | 1x = (-1) | x = (-1)"
183,230,"(1 + ((-2) / x)) = 3
 | ((-2) / x) = 2 | (((-2) / x) * (-2)) = (2 * (-2)) | ((-2) * ((-2) / x)) = (2 * (-2)) | (((-2) * ((-2) / x)) * (-2)) = ((2 * (-2)) * (-2)) | ((-2) * ((-2) * ((-2) / x))) = ((2 * (-2)) * (-2)) | (((-2) * (-2)) * ((-2) / x)) = ((2 * (-2)) * (-2)) | ((((-2) * (-2)) * (-2)) / x) = ((2 * (-2)) * (-2)) | ((((-2) * (-2)) * (-2)) / x) = (((-2) * 2) * (-2)) | (((-2) * ((-2) * (-2))) / x) = (((-2) * 2) * (-2)) | (((-2) * 2) * (-2)) = (((-2) * ((-2) * (-2))) / x) | ((-2) * ((-2) * 2)) = (((-2) * ((-2) * (-2))) / x) | ((-2) * ((-2) * 2)) = ((((-2) * (-2)) * (-2)) / x) | ((-2) * (-4)) = ((((-2) * (-2)) * (-2)) / x) | ((-2) * (-4)) = (((-2) * (-2)) * ((-2) / x)) | (((-2) * (-4)) * x) = ((((-2) * (-2)) * ((-2) / x)) * x) | (((-2) * (-4)) * x) = (x * (((-2) * (-2)) * ((-2) / x))) | (((-2) * (-4)) * x) = (x * ((((-2) * (-2)) * (-2)) / x)) | (((-2) * (-4)) * x) = ((x * (((-2) * (-2)) * (-2))) / x) | (((-2) * (-4)) * x) = (((((-2) * (-2)) * (-2)) * x) / x) | (((-2) * (-4)) * x) = ((((-2) * (-2)) * (-2)) * (x / x)) | (((-2) * (-4)) * x) = ((((-2) * (-2)) * (-2)) * 1) | 8x = ((((-2) * (-2)) * (-2)) * 1) | 8x = ((-8) * 1) | 8x = (-8) | x = (-1)"
184,231,"-1x = ((2x - 3) - 4)
 | -1x = ((2x + (-3)) - 4) | -1x = (2x + ((-3) - 4)) | -3x = (((-3) - 4) + 0) | -3x = (-7) | x = [7/3]"
185,232,"((-1) + 2x) = (-3x - 4)
 | (2x + (-1)) = (-3x - 4) | ((2x + (-1)) - (-1)) = ((-3x - 4) - (-1)) | ((2x + (-1)) - (-1)) = ((-3x + (-4)) - (-1)) | 2x = ((-3x + (-4)) - (-1)) | 2x = (-3x + ((-4) - (-1))) | 5x = (((-4) - (-1)) + 0) | 5x = (-3) | x = ([-3/5])"
186,233,"(-1x + (-2)) = (3 + -4x)
 | (-1x + (-2)) = (-4x + 3) | ((-1x + (-2)) - (-2)) = ((-4x + 3) - (-2)) | -1x = ((-4x + 3) - (-2)) | -1x = (-4x + (3 - (-2))) | 3x = ((3 - (-2)) + 0) | 3x = 5 | x = [5/3]"
187,234,"(-1) = (((-2) - 3x) + 4x)
 | ((-1) - (-2)) = ((((-2) - 3x) + 4x) - (-2)) | ((-1) - (-2)) = ((((-2) + -3x) + 4x) - (-2)) | 1 = ((((-2) + -3x) + 4x) - (-2)) | 1 = ((4x + ((-2) + -3x)) - (-2)) | 1 = ((4x + (-3x + (-2))) - (-2)) | 1 = (((4x + -3x) + (-2)) - (-2)) | 1 = (4x + -3x) | 1 = ((4 + (-3)) * x) | ((4 + (-3)) * x) = 1 | 1x = 1 | x = 1"
188,235,"(-1) = 2x
 | 2x = (-1) | x = ([-1/2])"
189,236,"(-1) = -2x
 | -2x = (-1) | x = [1/2]"
190,237,"-1x = (((-2) + -3x) - 4)
 | -1x = ((-3x + (-2)) - 4) | -1x = (-3x + ((-2) - 4)) | 2x = (((-2) - 4) + 0) | 2x = (-6) | x = (-3)"
191,240,"((1 + 2x) + 3x) = 4
 | (3x + (1 + 2x)) = 4 | (3x + (2x + 1)) = 4 | 4 = (3x + (2x + 1)) | 4 = ((3x + 2x) + 1) | 4 = (((3 + 2) * x) + 1) | 4 = (5x + 1) | (5x + 1) = 4 | 5x = 3 | x = [3/5]"
192,241,"(1 + 2x) = ((-3) + -4x)
 | (2x + 1) = ((-3) + -4x) | ((2x + 1) - 1) = (((-3) + -4x) - 1) | ((2x + 1) - 1) = ((-4x + (-3)) - 1) | 2x = ((-4x + (-3)) - 1) | 2x = (-4x + ((-3) - 1)) | 6x = (((-3) - 1) + 0) | 6x = (-4) | x = ([-2/3])"
193,242,"1x = (-2x + 3)
 | 3x = (3 + 0) | 3x = 3 | x = 1"
194,243,"(1x + 2) = (3 + -4x)
 | (1x + 2) = (-4x + 3) | ((1x + 2) - 2) = ((-4x + 3) - 2) | 1x = ((-4x + 3) - 2) | 1x = (-4x + (3 - 2)) | 5x = ((3 - 2) + 0) | 5x = 1 | x = [1/5]"
195,244,"(1 / (-2)) = x
 | x = (1 / (-2)) | x = ([-1/2])"
196,245,"(-1x + 2) = (-3x + (-4))
 | ((-1x + 2) - 2) = ((-3x + (-4)) - 2) | -1x = ((-3x + (-4)) - 2) | -1x = (-3x + ((-4) - 2)) | 2x = (((-4) - 2) + 0) | 2x = (-6) | x = (-3)"
197,247,"(-1x - 2x) = ((-3) + 4)
 | (((-1) - 2) * x) = ((-3) + 4) | -3x = ((-3) + 4) | -3x = 1 | x = ([-1/3])"
